strain,published_slope_baugh,published_pc1_baugh,delta_slope_baugh,delta_pc1_baugh,slope_nnls,pc1_nnls,delta_slope_nnls,delta_pc1_nnls
NIC256,-0.069860459,0.969947754,-4.3196974990248395e-4,0.16902940650302212,-0.03756524078784287,0.029514029269521708,-8.112460418711729e-5,-0.7773442039108356
NIC258,0.067064897,4.092378798,0.0019810817707484455,6.840580962133325,0.08846043311719966,3.5125812454843346,0.0016647899928690243,5.066518522024956
NIC261,0.039843205,5.553744921,9.243629754754691e-4,4.156490686118922,0.05931193792780593,3.56765771357679,0.0010095383484243973,4.764379608696011
NIC262,0.046490981,5.16491465,4.88326732124352e-4,1.7641206976614108,0.030273661418539623,3.5286436355561883,3.4278524656212436e-4,2.1686755046733306
NIC265,0.029735928,3.995341592,2.6177988477284685e-4,3.2890039905513593,0.02507307608431468,3.9889355330664946,1.9173370980108464e-4,3.79093861008222
NIC266,-0.049629389,1.192043395,-1.3123243612812432e-4,0.04490300678368114,0.009306334636630513,1.3157021220749106,-7.216266707491455e-7,0.3990366014655331
NIC268,-0.007329481,-0.379337597,-1.974868803960641e-5,-0.38130209443135493,0.0018472547305922002,0.35684582124409725,-2.2752235684318858e-6,-0.016252663114886736
NIC271,-0.029985181,-0.344031047,-5.866860886847361e-5,-1.1288954046825135,-0.012523310742326706,1.2465078196189392,3.189850056179297e-5,0.9096910544638297
NIC3,-0.066407626,-2.271555962,-1.7371191494134277e-4,-0.7671607755214052,-0.048973568827988784,0.7003564634701303,-2.1860128437828632e-4,0.15628691586291868
NIC501,-0.086877748,-1.03743694,-7.29212564405152e-4,-1.4685377430424706,-0.07798929329101878,-1.428857226038506,-6.748237850520269e-4,-1.4114770781490447
NIC523,0.058972386,1.013577331,5.633154790300437e-4,1.0157575184915224,0.0449842108103882,-0.029786946204755443,5.816915502227596e-4,0.4980335251295687
NIC526,-0.181313987,-6.003002808,-1.7509514450937861e-4,-0.8910768753427687,-0.06332847876595783,-2.2561166845798706,-2.2569770686156433e-4,-1.019395743582598
NIC527,-0.129641013,-2.788241582,-7.424926973534961e-4,-2.1734366615426968,-0.12894882707145408,-1.465396741551084,-7.967872934970412e-4,-0.7503592247409272
NIC528,0.022798954,1.005680855,3.0877648135403066e-4,0.17827807490891628,0.042951815571055735,0.7665558728268651,2.8748144948991943e-4,0.08892418686329795
PB306,-0.066833746,-2.369832296,-1.0159044904395802e-4,-0.4919839987129226,0.0013567389998752762,0.3900776646496628,7.271490311335509e-6,-0.11914138902202474
PS2025,0.007838736,1.711579758,1.9750409495905991e-4,1.0197303176751005,-0.003003780305610746,1.0303243046524362,-6.348776493817416e-5,0.4471776476121959
QG2075,0.010933435,-3.812889426,1.3420276321904264e-4,-1.9430172556935825,0.028519015989410215,-3.7891159035034274,1.6146928174511083e-4,-2.23899628714762
QG556,-0.106268498,-2.132962456,-3.2912168568437276e-4,-0.313449803939003,-0.05320679299784948,1.9729682012522025,-2.2946699191917167e-4,0.8797634841141967
QW947,-0.070722395,0.709150363,-7.474797811219916e-4,-0.6282973220824329,-0.13388560174242867,-0.5875325932456837,-7.466274620254265e-4,-0.43147925448428015
QX1211,0.015064471,0.967090986,-3.265972494439427e-6,-0.1003988989000953,0,0.6696009492289228,4.715739942988749e-6,-0.09857545980755444
QX1212,-0.022529049,0.727977915,-7.856144624893956e-5,-0.15256759791417945,-0.0026287914646454602,-1.0841529752651522,-4.57035166985879e-6,-0.9555173004504753
QX1791,-0.067588091,-0.726786844,-4.570087752643027e-4,-1.0287237154816866,-0.07758963143175272,-0.3413724887102534,-3.438953311951448e-4,0.19532600387689814
QX1792,-0.067896231,-0.258410559,-4.8292272326626876e-4,-0.2966696014492162,-0.08116556192937317,1.0044175263268122,-4.3688469215287057e-4,0.35209295437158594
QX1793,-0.092161632,-4.693145701,-8.924366761948842e-4,-6.595311240307616,-0.09941398772653041,-4.157327523852005,-8.397585139513264e-4,-5.820509839942963
QX1794,-0.074146538,-2.327385864,-3.099457633207765e-4,-1.3349128529987342,-0.007967019856002643,-1.3233895852485251,-9.645615150895615e-5,-0.901932081368089
WN2001,-0.070780175,-2.48296787,-1.5159485230759712e-4,-1.0614629846422539,-0.05761233171060587,-3.067657716835678,-2.2609812578841562e-4,-1.6219222292022806
XZ1513,-0.083529885,-2.463690657,-3.1932722937302177e-4,-1.261931833039193,-0.07306285236251213,-2.1737258849376806,-3.647963416052814e-4,-1.4437203987189589
XZ1514,-0.115229672,-3.576384927,-3.487073166269844e-4,-1.328087080398253,-0.05389748168020285,-0.10450994193091823,-2.4191851734247028e-4,-0.4234956683845733
XZ1515,-0.00846445,1.236153353,-1.2463900839872416e-4,-0.3090653827314381,1.4869058365515489e-18,0.4934669317700248,1.6426074475514408e-7,-0.19700233150913676
XZ1516,-0.037889654,0.571691372,-1.4095747640718888e-4,-0.09216026498355849,-0.04312171542814733,-0.30284687137334027,-1.251223859533942e-4,-0.14134215997535715
