strain	FULL	RESTRICTED	SYNTH	DROP3	max_ibs	nearest_extra	delta_restricted	delta_synth	is_twin
NIC195	0.0034974889809822004	0.002980740267616508	0.0029801927844237204	0.002927838466218131	0.9101920126488757	CX11262	-5.167487133656925e-4	-5.1729619655848e-4	FALSE
NIC199	0.002347856223378448	0.0023952110857874643	0.0023950746336104793	0.0025074257898363437	0.9183303613433287	NIC260	4.735486240901648e-5	4.721841023203142e-5	FALSE
NIC251	0.0013283231072152282	0.0013190811073882454	0.001318843290303776	0.0012872430812714223	0.9056281353416764	NIC260	-9.241999826982818e-6	-9.479816911452284e-6	FALSE
NIC252	0.0019084320343026706	0.0023866331490678145	0.0023867479272189893	0.0024965094315412737	0.9261130412430301	NIC260	4.7820111476514393e-4	4.783158929163188e-4	FALSE
NIC256	0.016100097968811934	0.018754101815286167	0.01837215811675515	NA	0.9601271030938335	NIC260	0.002654003846474233	0.002272060147943216	TRUE
NIC258	0.007635530366005122	0.005099902129450465	0.0051014181927236885	0.004285073275965423	0.9445948851593962	NIC260	-0.0025356282365546568	-0.0025341121732814333	FALSE
NIC261	0.0037522471778690717	0.0034535861185628802	0.0034541576597749315	0.003776745458185774	0.9597391007722863	NIC260	-2.9866105930619145e-4	-2.9808951809414015e-4	FALSE
NIC262	0.002917493284702059	0.004406897741039236	0.0044083823560806	0.005341327772109874	0.9564111725268489	NIC260	0.001489404456337177	0.0014908890713785407	FALSE
NIC265	0.003400687647673698	0.003090744110724625	0.003095331039743456	0.0033209708396399347	0.9267863869385485	NIC260	-3.099435369490729e-4	-3.0535660793024185e-4	FALSE
NIC266	0.003978687709637664	0.00409331858922894	0.004091015035604835	0.004294772245194003	0.9262294419394943	NIC260	1.1463087959127666e-4	1.123273259671714e-4	FALSE
NIC268	0.0013838509578465493	8.283773647684603e-4	8.314967749132092e-4	0.001754139578228139	0.927180047627285	CX11262	-5.55473593078089e-4	-5.523541829333402e-4	FALSE
NIC271	0.01926134602604867	0.01945854311191957	0.01945851219025737	0.010094864208899552	0.9589234875588672	NIC260	1.9719708587090032e-4	1.971661642087008e-4	FALSE
NIC3	0.0027824688530848555	0.004340167895351057	0.0043365430989527635	0.003228394765535006	0.9367847217619185	CX11262	0.0015576990422662015	0.001554074245867908	FALSE
