rep	max_LOD	max_LOD_chrIII	sd_beta	sd_z
176	4.73247114493419	4.73247114493419	0.00939026896790945	1.29435925248904
177	3.72580734166499	3.72580734166499	0.00854277666546033	1.17754050034924
178	4.00327538564294	4.00327538564294	0.00850493311985844	1.17232412757396
179	5.33530621589953	2.27449520775113	0.00808455374143509	1.11437882910835
180	5.8541074488389	1.57145356207511	0.00803785676412178	1.10794209498973
181	3.24117764097311	2.11701837186268	0.00801893378999086	1.10533374301018
182	7.1404373112982	2.98420025990912	0.00845033997958126	1.16479898250285
183	4.11012758687203	3.03773556548482	0.00806881165141963	1.11220893174602
184	4.15399332223392	4.15399332223392	0.00910695547954177	1.25530718313119
185	4.09200997130806	3.72161570041969	0.00873852170070206	1.20452209143676
186	3.1919765832532	2.36487417935692	0.00822578537952494	1.13384626695603
187	3.83620051872818	2.3598523607811	0.0093658859909484	1.29099829105752
188	4.2249832177578	1.70270688555732	0.00875921932186658	1.2073750616286
189	3.91887992114525	2.72366560646155	0.00796242841827143	1.09754501502482
190	3.80336192763052	2.66914197630986	0.00762058488967444	1.05042513638715
191	3.67426592510154	2.20236484213962	0.00872387480090317	1.20250315562781
192	3.08453499636806	1.90153759747489	0.00902170587328211	1.24355633584339
193	5.84313810191899	5.84313810191899	0.00940996602370248	1.29707430426227
194	3.57463475561907	3.57463475561907	0.0077613998872347	1.06983514430111
195	4.00046456775558	2.51174474826	0.00835195883289049	1.15123807728013
196	3.068850773689	2.05424665352938	0.00855862020437798	1.1797243814777
197	3.41343665170469	2.82483040163	0.00823614194719495	1.1352738212927
198	5.17306026753339	3.18245265697719	0.00867015264580571	1.1950980675785
199	2.82735421815769	1.33687147869875	0.0083452794724067	1.15031739097472
200	3.75115968943201	2.99057020835757	0.00871291079500394	1.20099187170948
