strain	nn_pool_ibs	nn_pool	mean_pool_ibs
JU1400	0.955285	N2	0.9175114851485149
JU1409	0.978375	N2	0.9301735294117647
JU1440	0.98042	N2	0.931173431372549
JU1491	0.96919	JU3137	0.9242608823529411
JU1530	0.98112	NIC3	0.9295796078431372
JU1543	0.988935	N2	0.934305
JU1568	0.991305	N2	0.935618137254902
JU1581	0.962485	N2	0.9192207920792079
JU1586	0.990035	N2	0.9346162745098039
JU1652	0.96773	JU1896	0.9206557425742574
JU1666	0.96654	DL200	0.9189800980392157
JU1792	0.97968	JU2592	0.9300014705882353
JU1793	0.9724	JU2106	0.9070505940594059
JU1808	0.975615	N2	0.9275060784313726
JU1896	0.96913	JU2234	0.9186010891089109
JU1934	0.969035	N2	0.9249756862745098
JU2001	0.95124	JU3137	0.9146255445544554
JU2007	0.9705	N2	0.9259065346534654
JU2016	0.98043	N2	0.9317571568627451
JU2017	0.960885	N2	0.9178821782178218
JU2106	0.9724	JU1793	0.9109991089108911
JU2131	0.96373	DL200	0.9173229411764706
JU2141	0.970605	N2	0.9256510784313725
JU2234	0.96913	JU1896	0.9198674257425743
JU2250	0.965995	DL200	0.9223893137254902
JU2257	0.98721	N2	0.9331871568627451
JU2316	0.96826	JU2526	0.8891822772277228
JU2464	0.970645	N2	0.9242922772277228
JU2466	0.981725	N2	0.9308403921568628
JU2478	0.97684	N2	0.9288023529411765
JU2513	0.973925	N2	0.9266673529411765
JU2519	0.966605	NIC258	0.9060757425742574
JU2522	0.96372	EG4724	0.9239756862745098
JU2526	0.96826	JU2316	0.8833148514851485
JU2534	0.98098	N2	0.9308800980392157
JU2565	0.98921	N2	0.93368
JU2566	0.98428	N2	0.9312527450980392
JU2570	0.96894	DL200	0.9236470588235294
JU2572	0.98009	N2	0.9302273529411764
JU2575	0.985405	N2	0.9328842156862746
JU2576	0.9631	N2	0.9180015841584158
JU2578	0.974585	N2	0.9281116666666667
JU258	0.94405	EG4724	0.9059267326732673
JU2581	0.983185	JU2829	0.9201999019607843
JU2586	0.96568	EG4724	0.923713725490196
JU2587	0.963665	N2	0.9225061764705882
JU2592	0.974165	N2	0.9275587128712871
JU2593	0.96202	JU2829	0.9189437623762376
JU2600	0.96658	JU1581	0.9210651960784314
JU2610	0.96661	JU1581	0.9207772549019608
JU2619	0.967845	N2	0.9252245544554455
JU2800	0.972015	JU1896	0.918751862745098
JU2811	0.95397	N2	0.917319207920792
JU2825	0.973765	N2	0.9248993137254902
JU2829	0.96202	JU2593	0.9175144554455446
JU2838	0.95646	N2	0.9182907920792079
JU2841	0.9618	N2	0.9169836633663366
JU2853	0.985	N2	0.9336810784313726
JU2862	0.97454	N2	0.9277249019607843
JU2866	0.96742	N2	0.9231337254901961
JU2878	0.96492	N2	0.9217709900990099
JU2879	0.95101	MY23	0.9098543564356436
JU2906	0.98086	N2	0.930371274509804
JU2907	0.990805	N2	0.9362041176470588
JU310	0.98043	NIC3	0.9298090196078431
JU311	0.98576	MY2453	0.9289024509803921
JU3125	0.97338	N2	0.9296715686274509
JU3127	0.970495	N2	0.9277530392156863
JU3128	0.978665	N2	0.9298550980392157
JU3132	0.967355	N2	0.9256973529411765
JU3134	0.97197	N2	0.9235957843137255
JU3135	0.97256	N2	0.9239064705882353
JU3137	0.9657	N2	0.9209090099009901
JU3140	0.97103	DL200	0.9215061764705882
JU3141	0.981605	JU2592	0.9292482352941176
JU3144	0.96024	N2	0.9210777450980392
JU3166	0.948205	N2	0.9125095098039215
JU3167	0.93561	GXW1	0.9059549019607843
JU3169	0.95284	NIC252	0.9166688235294118
JU3224	0.96311	JU774	0.9186087254901961
JU3225	0.97581	N2	0.9269311764705882
JU3226	0.989765	ECA36	0.7920157843137255
JU3228	0.957125	JU774	0.9136279411764706
JU323	0.975335	N2	0.927710294117647
JU3280	0.965485	N2	0.9210232352941177
JU3282	0.97417	N2	0.9259248039215686
JU3291	0.968885	JU1581	0.920953431372549
JU3318	0.962705	N2	0.9171743137254902
JU346	0.973225	N2	0.9273409803921568
JU360	0.966905	N2	0.9251659803921569
JU367	0.990555	N2	0.9352198039215687
JU3795	0.969185	N2	0.9244021568627451
JU393	0.964765	N2	0.9233705882352942
JU394	0.980085	N2	0.9283461764705883
