strain	slope_nnls	slope_baugh	resid	resid_z	rmsd	bias	rho	mean_frq	n
MY2741	-5.01323002638491e-4	-5.682132836697253e-4	6.689028103123431e-5	0.32170241129335886	0.0025296327666132342	-0.0017545407829590903	0.8962450592885375	0.00541154779988619	23
NIC195	2.139201929626793e-6	-8.891087605101099e-5	9.105007798063778e-5	0.49544723982054517	0.003297228056467993	0.002762584229486707	0.7628458498023716	0.008453471225559901	23
NIC199	4.234923258684724e-5	4.538495055106124e-6	3.7810737531741116e-5	0.11257729697433917	0.002294672859592652	-0.0019672477486303505	0.9114593653211823	0.003826908796010704	23
NIC251	7.530517329918093e-5	2.4974811737423045e-5	5.0330361561757883e-5	0.2026119911762627	0.0012566255485184784	-6.467826272102145e-4	0.9891304347826086	0.011121843271674748	23
NIC252	0.0010757469476578919	0.0012400586561238014	-1.6431170846590952e-4	-1.3409833349673295	0.0018856669703892321	-3.202479800433725e-4	0.9496047430830039	0.019587034514534397	23
NIC256	-1.371935042360378e-4	-4.319697499024839e-4	2.9477624566644613e-4	1.9605410129677392	0.016243445806858593	0.01493638845429996	0.33794466403162055	0.026311141814717384	23
NIC258	0.001664619463749744	0.0019810817707484455	-0.00031646230699870163	-2.435172152354781	0.007541579692378305	-0.006386161856769451	0.9940711462450593	0.025269072605964744	23
NIC261	8.998912627414425e-4	9.243629754754693e-4	-2.4471712734026722e-5	-0.33532603865141974	0.00372261053249104	-0.0029507456954119644	0.9495553606449689	0.013044925536177806	23
NIC262	2.7278280245039075e-4	4.88326732124352e-4	-2.1554392967396125e-4	-1.7094191089724422	0.003092831132735012	0.0025942042188913917	0.9466403162055336	0.009945946104678824	23
NIC265	4.0072280357754246e-4	2.617798847728468e-4	1.3894291880469566e-4	0.8398679083419843	0.0033308974674565424	0.0029948722554290624	0.991106719367589	0.0223706367699381	23
NIC266	-5.645101586991503e-5	-1.312324361281243e-4	7.478142025820926e-5	0.378451424322989	0.0037985583676190164	-0.0032789958255349944	0.8750745752033058	9.058250610254043e-4	23
NIC268	5.685894736947756e-7	-1.9748688039606417e-5	2.0317277513301193e-5	-0.013226666428841714	0.0013873732648186656	-0.0013078468652856388	0.9361098542035698	0.002811021581582443	23
NIC271	2.7305331788296517e-5	-5.8668608868473605e-05	8.597394065677013e-5	0.4589422720526926	0.019714205412560047	-0.01675243580959699	0.8323640718969119	0.007109585032524958	23
NIC3	-1.9975324635026972e-4	-1.7371191494134277e-4	-2.6041331408926943e-5	-0.3466139285328925	0.0031604382135677163	0.0027507498604664353	0.8863636363636364	0.006822981278255776	23
NIC501	-5.844248576435518e-4	-7.29212564405152e-4	1.4478770676160015e-4	0.8819006159627001	0.0037040374326085786	-0.0020810632529660845	0.9812252964426876	0.009322267903803163	23
NIC523	6.645857729770682e-4	5.633154790300437e-4	1.0127029394702447e-4	0.5689457743616028	0.0023463008513170433	0.0015784951241816566	0.9901185770750989	0.017465868702654683	23
NIC526	-2.2907269600373203e-4	-1.7509514450937864e-4	-5.397755149435339e-5	-0.5475168491412549	0.0024801107718066726	0.0018463781483358554	0.6847826086956522	0.0038143414862277496	23
NIC527	-7.252268750253194e-4	-7.424926973534961e-4	1.7265822328176722e-5	-0.03517116203069468	0.0037744564459286827	-0.003292444718976843	0.9455204823675211	0.006232490853582098	23
NIC528	3.1449528092087475e-4	3.087764813540306e-4	5.718799566844146e-6	-0.11821140834852571	0.006990021946444024	-0.006635574467712404	0.9223929246682471	0.005962167884975104	23
PS2025	7.66783630331985e-5	1.975040949590599e-4	-1.2082573192586139e-4	-1.0282545668774774	0.002490615678900054	-0.0013776610737184982	0.974308300395257	0.0149521385594254	23
QG2075	1.2984168900913485e-4	1.3420276321904259e-4	-4.361074209907731e-6	-0.19070067407311533	0.0010896363796866332	-1.791252295406023e-4	0.9219367588932805	0.004635548014790874	23
QG556	-2.4783934268054255e-4	-3.2912168568437276e-4	8.128234300383021e-5	0.42520271573789004	0.0023727318277022625	0.0019260103916068797	0.8349802371541502	0.004665394335660127	23
QW947	-7.32696314319613e-4	-7.474797811219917e-4	1.4783466802378744e-5	-0.05302298570605601	0.005717617832486326	-0.005257451552984405	0.8369565217391305	0.006899836338879207	23
QX1211	3.92520686479734e-6	-3.2659724944394294e-6	7.191179359236769e-6	-0.10762281047695019	2.694253733335059e-4	-1.660232007389139e-4	0.15055361809841086	7.897587109123394e-5	23
QX1212	-3.12918512206745e-5	-7.856144624893956e-5	4.7269595028265054e-5	0.1806005331479868	0.0021842464373689626	0.0017350509169894316	0.958498023715415	0.008131543246767351	23
QX1791	-4.0452829550472895e-4	-4.570087752643027e-4	5.248047975957374e-5	0.21807453493749754	0.002227080172354565	-0.0019352644298756042	0.986109474438024	0.008735104283165703	23
QX1792	-4.933437226482654e-4	-4.8292272326626876e-4	-1.0420999381996617e-5	-0.2342805378491708	0.0014246487816968933	-0.001226344519789587	0.9634387351778656	0.00834537409256466	23
QX1793	-9.025887719077794e-4	-8.924366761948842e-4	-1.0152095712895218e-5	-0.23234672102214207	0.0018429554276741327	0.0014997982476693135	0.9901185770750989	0.016798906269031046	23
QX1794	-2.901721098259786e-4	-3.099457633207765e-4	1.9773653494797882e-5	-0.01713613065471758	0.002764277132237394	-0.002365186175282128	0.917965966375208	0.0032161439262876406	23
WN2001	-2.2675535072975303e-4	-1.5159485230759715e-4	-7.516049842215588e-5	-0.6998537040154597	0.0020960930554701765	0.0017516293248416833	0.8646245059288538	0.005086044334933596	23
XZ1513	-4.173044030437722e-4	-3.1932722937302177e-4	-9.797717367075043e-5	-0.8639394923575443	0.001737786875823427	1.1003140846475645e-4	0.950592885375494	0.009379466102234613	23
XZ1514	-2.5878765993646156e-4	-3.4870731662698447e-4	8.991965669052291e-5	0.48731783154671704	0.0025684548082956834	-0.0021221366277511286	0.9567581216223988	0.00321826916409687	23
XZ1515	4.8716083524690886e-5	-1.246390083987242e-4	1.7335509192341507e-4	1.0873425510420498	0.0044327094574617655	-0.0029156406031386984	0.5291696977137901	6.486906174901003e-4	23
XZ1516	-1.0503848025765937e-4	-1.4095747640718888e-4	3.591899614952951e-5	0.09897286632624745	4.431399335083985e-4	2.4174524993427008e-4	0.9762845849802371	0.004379680165159838	23
