strain	rmsd	mean_f	zero_frac	nn_ibs_wild	nn_partner_wild	nn_ibs	nn_partner	mean_ibs	n_private	n_private_div	n_private_nondiv	n_shared_div	pc1	pc2	pc1_abs	rel	div_frac
ECA396	0.00290783844525586	0.0212646497827985	0	0.917952	ECA191	0.917952	ECA191	0.79984902	28627	2223	26404	54524	57.1683064743798	-5.64029021053471	63.4458359959498	0.136745183906489	0.0776539630418835
ED3017	0.00310899579688249	0.00246789266500313	0	0.968912	ED3077	0.97679	N2	0.92830152	454	1	453	3305	-10.0797456304134	-2.60113570369702	3.80221610884344	1.25977755879369	0.00220264317180617
ED3049	0.01386385889728	0.020780641695131	0.304347826086957	0.957964	JU561	0.963548	N2	0.9202129	1144	26	1118	13948	-9.87494084232217	-2.01929220415973	3.59741132075217	0.667152588484712	0.0227272727272727
ED3052	0.00329192756106644	0.00912760013256674	0.0434782608695652	0.972086	LKC34	0.97348	N2	0.92583262	525	6	519	5836	-11.9889052905512	-5.26076060572575	5.7113757689812	0.360656417158442	0.0114285714285714
ED3077	0.0034180612852068	0.0246764157564578	0	0.968912	ED3017	0.969698	N2	0.924536	617	1	616	9478	-10.7523639144607	-4.48851895629411	4.47483439289068	0.138515306231712	0.00162074554294976
EG4724	0.00189696950045942	0.0117966219340508	0	0.954932	NIC252	0.954932	NIC252	0.91854068	699	6	693	16292	-7.29538835408208	8.04745519017028	1.01785883251208	0.160806162227157	0.00858369098712446
EG4725	0.0043355819522309	0.0230179849387282	0	0.951942	NIC266	0.951942	NIC266	0.90684794	1952	356	1596	27035	-2.65928387312928	10.4074768657353	3.61824564844072	0.188356277222869	0.182377049180328
GXW1	0.00343024114464843	0.00905931399836232	0	0.966286	ED3052	0.972562	N2	0.92363104	904	103	801	8293	-12.248501092116	-10.8418335069795	5.97097157054603	0.378642482782749	0.113938053097345
JU1212	0.00288548343249796	0.00734808682844198	0.173913043478261	0.963072	JU2106	0.963072	JU2106	0.91764512	1012	21	991	17281	-5.2181384396684	0.248246226636073	1.0593910819016	0.392684994048958	0.0207509881422925
JU1400	0.00255174696001275	0.00376828994839801	0.565217391304348	0.950838	NIC528	0.955158	N2	0.91708172	1237	18	1219	17331	-5.83644151551092	3.0105153179962	0.441088006059085	0.677163115088202	0.0145513338722716
JU1581	0.00299063807581052	0.00268892865429602	0	0.960798	MY2147	0.96218	N2	0.91856074	1177	29	1148	7630	-8.87403885885348	-5.14341104639742	2.59650933728348	1.11220432384194	0.0246389124893798
JU1652	0.00355155288303675	0.0284001940218278	0.0434782608695652	0.967646	JU1896	0.967646	JU1896	0.92011038	871	58	813	10926	-8.17066084197059	-3.24815490557454	1.89313132040058	0.125053824643138	0.0665901262916188
JU1793	0.00439733808969152	0.0090998748497111	0.304347826086957	0.972618	JU2106	0.972618	JU2106	0.90729886	413	34	379	26958	-3.32947883369749	11.3941221523306	2.94805068787252	0.483230611663975	0.0823244552058111
JU1896	0.00275731456730439	0.0122513966619382	0	0.969328	JU2234	0.969328	JU2234	0.91797168	1367	42	1325	10469	-5.59056637904375	-6.14025423488326	0.686963142526255	0.225061243496476	0.0307242136064375
JU2001	0.00168568210530309	0.00125544652609944	1	0.951172	JU3137	0.951172	JU3137	0.91407852	3245	104	3141	15596	-7.28729822421295	0.681671657254742	1.00976870264295	1.34269526440155	0.0320493066255778
JU2007	0.00227171287010326	0.0111223935326452	0.0869565217391304	0.964538	CX11271	0.97066	N2	0.92557882	941	7	934	6648	-10.0214445161819	-5.10995106882841	3.74391499461188	0.204246762482876	0.00743889479277365
JU2017	0.00182905878787538	0.00816369258416828	0	0.952886	XZ1515	0.960588	N2	0.91724174	2416	18	2398	10298	-9.72580839721548	-14.1214214334623	3.44827887564548	0.224047974494097	0.00745033112582781
JU2106	0.00153322958090215	0.00390934196399348	0.304347826086957	0.972618	JU1793	0.972618	JU1793	0.91107464	484	14	470	22759	-3.71964864448203	7.55069423298306	2.55788087708797	0.392196332534676	0.0289256198347107
JU2234	0.00409208246687091	0.00590414749859702	0.434782608695652	0.969328	JU1896	0.969328	JU1896	0.91944944	1126	5	1121	11597	-7.56536343261168	-6.35652876613131	1.28783391104167	0.693086083612121	0.0044404973357016
JU2316	0.00555580343879534	0.00594979661480428	0.652173913043478	0.96819	JU2526	0.96819	JU2526	0.88939436	387	151	236	35262	11.242929822677	44.6196580455296	17.520459344247	0.93378039595024	0.390180878552972
JU2464	0.00287643005280945	0.0072271780412471	0	0.963898	GXW1	0.970884	N2	0.92394678	810	14	796	6292	-10.8033331959216	-9.77685751582424	4.5258036743516	0.398001825386483	0.017283950617284
JU2519	0.00256662823798314	0.0141401766389108	0	0.96697	NIC258	0.96697	NIC258	0.90588422	250	13	237	24407	1.69886264259482	32.1598943770715	7.97639216416482	0.181513166597956	0.052
