strain	rmsd	bias	mean_f	zero_frac	n	nn_ibs_wild	nn_partner_wild	nn_ibs	nn_partner	mean_ibs	rel
NIC526	0.00230594640870844	0.00162862735012324	0.00196796333789189	0	23	0.966852	NIC527	0.966852	NIC527	0.92097962	1.17174256466515
NIC527	0.00403965303982396	-0.00359015985651309	0.00952493557255894	0.173913043478261	23	0.966852	NIC526	0.966852	NIC526	0.92150726	0.424113424080482
NIC528	0.00686870947618957	-0.00650850757985986	0.0125977423526875	0.521739130434783	23	0.962482	ED3017	0.967416	N2	0.92266926	0.545233366732909
PB306	0.0041595585734236	0.00404018113225942	0.00149030431499313	0	23						2.79108000398079
PS2025	0.00267670963105592	-0.00156319635087025	0.0163297996331439	0.0434782608695652	23	0.984054	ECA348	0.984054	ECA348	0.9102611	0.163915644477542
QG2075	0.00109806827666262	-0.000284275069627122	0.00481467324433148	0	23	0.95352	JU2007	0.95352	JU2007	0.91663266	0.228067040261855
QG556	0.00243704545744259	0.0019993535173038	0.00273938394405325	0	23	0.95842	ECA348	0.95842	ECA348	0.9115834	0.889632671876102
QW947	0.00583305472169512	-0.0053800127923321	0.0121572878918636	0.0434782608695652	23	0.954822	JU2464	0.958442	N2	0.9174054	0.479799012212168
QX1211	0.000266245754815758	-0.000175794121113855	0.000244999071830148	0.826086956521739	23	0.94802	ECA36	0.94802	ECA36	0.7868709	1.08672148358317
QX1212	0.00191009637139544	0.00132459249978001	0.00639649232977792	0	23	0.965374	XZ1515	0.965374	XZ1515	0.91761762	0.298616221659998
QX1791	0.00233973214779992	-0.00204343500168278	0.0106703687130413	0.217391304347826	23	0.911308	XZ1515	0.917594	N2	0.8830392	0.219273786194501
QX1792	0.00171362711601133	-0.00156085207704553	0.00957171861235425	0.0434782608695652	23	0.941444	XZ1515	0.945562	N2	0.90817804	0.179030243722329
QX1793	0.00178659634879706	0.00142846905860618	0.0152991080213617	0	23	0.93891	XZ1515	0.93891	XZ1515	0.90335966	0.116777811249028
QX1794	0.00279534567957054	-0.00239667956700035	0.00558133010156977	0.347826086956522	23	0.939908	XZ1515	0.939908	XZ1515	0.90078732	0.500838622461041
