rep	trait	arm	depth	r2	n.neg	min.coef
3	mtDNA_ratio	fcnnls.ne	50	0.970596950305187	0	0
3	mtDNA_ratio	fcnnls.ne	30	0.9375295574725339	2	-0.003845594035529418
3	mtDNA_ratio	fcnnls.ne	10	0.8320400958427544	18	-0.02612077980491023
3	mtDNA_ratio	fcnnls.ne	5	0.7280357820283743	0	0
3	mtDNA_ratio	fcnnls.ne	3	0.6427748196429618	0	0
3	mtDNA_ratio	fcnnls.ne	1	0.49736992911430694	0	0
3	mtDNA_ratio	rcppml.ne	500	0.9956824174441262	0	0
3	mtDNA_ratio	rcppml.ne	100	0.9829943496775174	0	0
3	mtDNA_ratio	rcppml.ne	50	0.97069323068834	0	0
3	mtDNA_ratio	rcppml.ne	30	0.9403261880707007	0	0
3	mtDNA_ratio	rcppml.ne	10	0.8703941623136908	0	0
3	mtDNA_ratio	rcppml.ne	5	0.7293374405753928	0	0
3	mtDNA_ratio	rcppml.ne	3	0.6367985182172481	0	0
3	mtDNA_ratio	rcppml.ne	1	0.5046446331796837	0	0
3	PC1	fcnnls.ne	500	0.9997391918175481	0	0
3	PC1	fcnnls.ne	100	0.9965678582051791	0	0
3	PC1	fcnnls.ne	50	0.9954227211878712	0	0
3	PC1	fcnnls.ne	30	0.9913749733073576	0	0
3	PC1	fcnnls.ne	10	0.9780628349191146	0	0
3	PC1	fcnnls.ne	5	0.9616678067752408	0	0
3	PC1	fcnnls.ne	3	0.9392005931264116	0	0
3	PC1	fcnnls.ne	1	0.8547518717915102	0	0
3	PC1	rcppml.ne	500	0.9998662122378341	0	0
3	PC1	rcppml.ne	100	0.9987933191391389	0	0
3	PC1	rcppml.ne	50	0.9976490211801595	0	0
3	PC1	rcppml.ne	30	0.9975916341888177	0	0
3	PC1	rcppml.ne	10	0.9904560997998207	0	0
3	PC1	rcppml.ne	5	0.9852335525376222	0	0
3	PC1	rcppml.ne	3	0.9722503612864312	0	0
3	PC1	rcppml.ne	1	0.8985095113080895	0	0
3	value	fcnnls.ne	500	0.9994831523089385	0	0
3	value	fcnnls.ne	100	0.9979696990143837	0	0
3	value	fcnnls.ne	50	0.9941661589067549	0	0
3	value	fcnnls.ne	30	0.9916442701196916	0	0
3	value	fcnnls.ne	10	0.9803210572297786	0	0
3	value	fcnnls.ne	5	0.9566489212448477	0	0
3	value	fcnnls.ne	3	0.936844575707241	0	0
3	value	fcnnls.ne	1	0.8414851639030161	0	0
3	value	rcppml.ne	500	0.9997189007707109	0	0
3	value	rcppml.ne	100	0.9986173353761961	0	0
3	value	rcppml.ne	50	0.9972060223190319	0	0
3	value	rcppml.ne	30	0.9947510384075094	0	0
3	value	rcppml.ne	10	0.989505418489353	0	0
3	value	rcppml.ne	5	0.9728395462570236	0	0
3	value	rcppml.ne	3	0.9480768468975964	0	0
3	value	rcppml.ne	1	0.8801745388503767	0	0
