species,species_id_method,strain,isotype,previous_names,release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,sampled_by,isolated_by,sampling_date,notes,strain_set,issues,issue_notes,isotype_ref_strain,sequenced
Caenorhabditis elegans,,JU3226,JU3226,NaNZ4.2,20180413,JU,-41.29085,174.76872,Urban_garden,Wellington,Rotting_nut/pod/seed/fruit,Pittosporum crassifolium fruits,,,,,N. Pujol,M.-A. Felix,2017-04-03,"Isolated from rotting Pittosporum crassifolium fruits sampled in April 2017 by N. Pujol on the Victoria University of Wellington campus, Wellington, New Zealand. GPS -41.29085, 174.76872. Maintain at 15°C.",7,False,,True,True
Caenorhabditis elegans,,JU3227,JU3228,NaNZ9.1,20180413,JU,-38.64844,176.08947,Forest,Waikato,Vegetal_litter/mix,Phormium leaves,,,,,N. Pujol,M.-A. Felix,2017-04-04,"Isolated from rotting Phormium leaves sampled in April 2017 by N. Pujol at Huka Falls, New Zealand. -38.64844, 176.08947. Kept at 18°C.",,False,,False,True
Caenorhabditis elegans,,JU3228,JU3228,NaNZ10.1,20180413,JU,-39.02256,175.71458,Rural_garden,Waikato,Vegetal_litter/mix,Phormium leaves,,,,,N. Pujol,M.-A. Felix,2017-04-05,"Isolated from rotting Phormium leaves sampled in April 2017 by N. Pujol in Opotaka, Te Ponanga Saddle Rd, Otukou, New Zealand. -39.02256, 175.71458",7,False,,True,True
Caenorhabditis elegans,,JU323,JU323,D3.1,20160408,JU,44.42,4.4,Rural_garden,Rhone-Alpes,,,,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Helix snail #3 on the trunk of a mulberry tree (not the same snail as JU322).",1,False,,True,True
Caenorhabditis elegans,,JU3271,JU1793,S409.2,20180413,JU,49.11,1.93,Rural_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,plums,,,,,"M.-A. Felix, E. Troemel",M.-A. Felix,2017-05-01,"from rotting plums next to Le Perchay, Val d’Oise",,False,,False,True
Caenorhabditis elegans,,JU3280,JU3280,CZ22.2,20180413,JU,50.07182,14.42333,Botanical_garden_or_zoo,Prague,Compost,"leaves,walnuts and horse chestnuts",,,,,M.-A. Felix,M.-A. Felix,2017-09-24,"Isolated from compost heap with leaves,walnuts and horse chestnuts sampled by MAF in the Botanical Garden of the University of Prague, Czech Republic",7,False,,True,True
Caenorhabditis elegans,,JU3282,JU3282,CZ24.2,20180413,JU,50.0711,14.42028,Botanical_garden_or_zoo,Hlavni mesto Praha,Rotting_stem,banana and Strelitzia stems,,,,,M.-A. Felix,M.-A. Felix,2017-09-24,"Isolated from rotting banana and Strelitzia stems sampled by MAF in the greenhouse Botanical Garden of the University of Prague, Czech Republic",6,False,,True,True
Caenorhabditis elegans,,JU3291,JU3291,ZT051,20180413,JU,48.7679,2.70719,Forest,Ile-de-France,Rotting_stem,Petasites,,,,,M.-A. Felix,R. Luallen,2017-10-08,"Forest of Armainvilliers, France",6,False,,True,True
Caenorhabditis elegans,,JU3318,JU3318,,20200815,JU,23.10675,102.74492,Agricultural_land,Yunnan,Rotting_flower,rotting water hyacinths,,,,,M.-A. Felix,M.-A. Felix,2018-03-05,,9,False,,True,True
Caenorhabditis elegans,,JU3398,JU1793,,20200815,JU,49.12011,1.95129,Forest,Ile-de-France,Rotting_stem,rotting Symphytum officinale stem,,,,,M.-A. Felix,M.-A. Felix,2013-11-20,,,False,,False,True
