sample,sample_info,time,rnai,replicate,depth_cutoff,strain,frq,t0_frq,ctrl_frq,delta_t0,delta_ctrl,log2fc_t0,log2fc_ctrl
A13,T2_pos-1_4,T2,pos-1,4,3,JU2825,0,0,0,0,0,0,0
A6,T2_ctrl_A,T2,ctrl,A,3,JU2825,0,0,0,0,0,0,0
A7,T2_ctrl_B,T2,ctrl,B,3,JU2825,0,0,0,0,0,0,0
A10,T2_pos-1_1,T2,pos-1,1,5,JU2825,0,0,0,0,0,0,0
A11,T2_pos-1_2,T2,pos-1,2,5,JU2825,0,0,0,0,0,0,0
A12,T2_pos-1_3,T2,pos-1,3,5,JU2825,0,0,0,0,0,0,0
A13,T2_pos-1_4,T2,pos-1,4,5,JU2825,0,0,0,0,0,0,0
A6,T2_ctrl_A,T2,ctrl,A,5,JU2825,0,0,0,0,0,0,0
A7,T2_ctrl_B,T2,ctrl,B,5,JU2825,0,0,0,0,0,0,0
A10,T2_pos-1_1,T2,pos-1,1,10,JU2825,0,0,0,0,0,0,0
A11,T2_pos-1_2,T2,pos-1,2,10,JU2825,0,0,0,0,0,0,0
A12,T2_pos-1_3,T2,pos-1,3,10,JU2825,0,0,0,0,0,0,0
A13,T2_pos-1_4,T2,pos-1,4,10,JU2825,0,0,0,0,0,0,0
A6,T2_ctrl_A,T2,ctrl,A,10,JU2825,0,0,0,0,0,0,0
A7,T2_ctrl_B,T2,ctrl,B,10,JU2825,0,0,0,0,0,0,0
A10,T2_pos-1_1,T2,pos-1,1,3,JU2838,0,0,0,0,0,0,0
A11,T2_pos-1_2,T2,pos-1,2,3,JU2838,0.00195067312535947,0,0,0.00195067312535947,0.00195067312535947,66.0920104612324,66.0920104612324
A12,T2_pos-1_3,T2,pos-1,3,3,JU2838,0,0,0,0,0,0,0
A13,T2_pos-1_4,T2,pos-1,4,3,JU2838,0.00136084755597594,0,0,0.00136084755597594,0.00136084755597594,65.5725438788964,65.5725438788964
A6,T2_ctrl_A,T2,ctrl,A,3,JU2838,0,0,0,0,0,0,0
A7,T2_ctrl_B,T2,ctrl,B,3,JU2838,0,0,0,0,0,0,0
A10,T2_pos-1_1,T2,pos-1,1,5,JU2838,0,0,0,0,0,0,0
A11,T2_pos-1_2,T2,pos-1,2,5,JU2838,0.00199294755565742,0,0,0.00199294755565742,0.00199294755565742,66.1229421619044,66.1229421619044
A12,T2_pos-1_3,T2,pos-1,3,5,JU2838,1.67728342422952e-05,0,0,1.67728342422952e-05,1.67728342422952e-05,59.2303087193439,59.2303087193439
A13,T2_pos-1_4,T2,pos-1,4,5,JU2838,0.00141108834372007,0,0,0.00141108834372007,0.00141108834372007,65.6248467289724,65.6248467289724
A6,T2_ctrl_A,T2,ctrl,A,5,JU2838,0,0,0,0,0,0,0
A7,T2_ctrl_B,T2,ctrl,B,5,JU2838,0,0,0,0,0,0,0
A10,T2_pos-1_1,T2,pos-1,1,10,JU2838,0,0,0,0,0,0,0
A11,T2_pos-1_2,T2,pos-1,2,10,JU2838,0.00272541385436148,0,0,0.00272541385436148,0.00272541385436148,66.5745137356037,66.5745137356037
