strain,delta_ctrl_pos-1_T2,vst_ctrl_pos-1_T2,log2fc_ctrl_pos-1_T2,negctrl_growth_HT115_delta_t0,negctrl_abundance_log10
"JU2250",-0.00259605589944937,-0.0248168312575399,-1.39156352708078,0.00419497811662873,-2.37727030035427
"JU2257",-0.00165579231679006,-0.0183246049775122,-1.18422296454681,0.000969199974355238,-2.52913447329802
"JU2464",NA,NA,NA,-0.00332653365243255,NA
"JU2466",NA,NA,NA,0,NA
"JU2478",NA,NA,NA,-0.00202194612476759,NA
"JU2513",-0.000347014497032914,-0.0186294026783054,-63.6011062555444,-0.00210757086760623,-3.45965238154952
"JU2519",NA,NA,NA,0,NA
"JU2522",0.0316412967970881,0.105992666122103,2.08660370620024,0.00297955676429376,-2.01129085305601
"JU2526",NA,NA,NA,0,NA
"JU2534",NA,NA,NA,0,NA
"JU2565",NA,NA,NA,-0.00346110714800892,NA
"JU2566",-0.0019635293169842,-0.0315982614461422,-3.23153167274967,0.00219748762543905,-2.65807356185995
"JU2570",NA,NA,NA,0,NA
"JU2572",NA,NA,NA,-0.00392430023619936,NA
"JU2575",NA,NA,NA,-0.0128067330950404,NA
"JU2578",-0.00016552609115459,-0.00168876629773737,-0.0991980161698876,0.00249105463090741,-2.60361674791855
"JU2581",-0.000268999410499895,-0.0164019369035657,-63.2337133319923,-0.00154423049588601,-3.57024867173337
"JU2586",-0.00714019917457718,-0.0846005811844785,-67.9640027342311,-0.000645313833552218,-2.14628967348806
"JU2587",-0.0005785391732559,-0.0240551611278228,-64.3385249692484,0.0005785391732559,-3.23766722936065
"JU2592",-0.00381258596769641,-0.038354375959378,-2.34136771551306,0.0047498393270903,-2.32332108101477
"JU2593",NA,NA,NA,0,NA
"JU2610",-0.000182942155807209,-0.00218003812004746,-0.149685425054547,-0.00186058423797614,-2.73135606186874
"JU2619",-0.000701437108484272,-0.0108146244438573,-0.97022442502958,-0.00280177683034115,-2.84382902667207
"JU2800",NA,NA,NA,0,NA
