strain	Albendazole_q75.TOF	PC1	assay_norm	mtDNA_ratio	value	amsacrine_f.L1	etoposide_median.TOF
DL226	-21.813337477242	7.30520506328924	0.287321703928945	9.95468898953	-3.36973617505734	-0.0355607674062066	11.7824755598713
DL238	-16.1163970145741	-13.9396176539481	0.46986244376513	32.7226470643	32.6968075302388	0.00566173567208022	-18.1645864101973
ECA189	-17.2225041999064	NA	NA	15.5690757771	NA	NA	NA
ECA191	NA	NA	NA	12.5362129807	NA	NA	NA
ECA250	2.46157557009761	NA	-0.054826443714565	NA	NA	NA	NA
ECA251	-32.3319640610325	NA	-0.234604940867457	NA	NA	NA	NA
ECA252	-103.407169613505	NA	0.0959254678787879	13.3844840307	-2.61012673709902	NA	NA
ECA259	-26.1411657164223	NA	-0.152108425147849	NA	NA	NA	NA
ECA347	NA	NA	NA	10.4398800557	NA	NA	NA
ECA348	114.034284017073	NA	NA	20.7928565776	NA	NA	NA
ECA349	17.0012373149698	NA	NA	14.4972417817	NA	NA	NA
ECA36	-17.0562065434328	NA	NA	36.8478014906	-3.17549724571009	0.0380046064805666	43.2817327845951
ECA363	NA	NA	NA	11.32996637	NA	NA	NA
ECA369	NA	NA	NA	16.434045437	NA	NA	NA
ECA372	-61.806493342561	NA	NA	9.28351222184	NA	NA	NA
ECA396	-57.2546534845554	NA	-0.041285886969697	13.0295022843	NA	NA	NA
ECA592	NA	NA	NA	16.9330710544	NA	NA	NA
ECA593	NA	NA	NA	29.4879603569	NA	NA	NA
ECA594	NA	NA	NA	18.0903552044	NA	NA	NA
ECA640	NA	NA	NA	27.8296216302	NA	NA	NA
ECA701	NA	NA	NA	23.7291153531	NA	NA	NA
ECA703	NA	NA	NA	22.4213141	NA	NA	NA
ECA705	NA	NA	NA	24.3304601042	NA	NA	NA
ECA706	NA	NA	NA	32.7402328305	NA	NA	NA
ECA710	NA	NA	NA	26.7498968172	NA	NA	NA
ECA712	NA	NA	NA	27.9071237045	NA	NA	NA
ECA722	NA	NA	NA	25.0677510844	NA	NA	NA
ECA723	NA	NA	NA	23.201603016300002	NA	NA	NA
ECA724	NA	NA	NA	18.6615039178	NA	NA	NA
ECA730	NA	NA	NA	20.2208896173	NA	NA	NA
ECA732	NA	NA	NA	25.8863009431	NA	NA	NA
ECA733	NA	NA	NA	11.5187079065	NA	NA	NA
ECA738	NA	NA	NA	28.7261985512	NA	NA	NA
ECA740	NA	NA	NA	19.0238537603	NA	NA	NA
ECA741	NA	NA	NA	17.8392835486	NA	NA	NA
ECA742	NA	NA	NA	14.6798873394	NA	NA	NA
ECA743	NA	NA	NA	18.1714508282	NA	NA	NA
ECA744	NA	NA	NA	22.358340181	NA	NA	NA
ECA745	NA	NA	NA	18.7274955154	NA	NA	NA
ECA746	NA	NA	NA	12.6431407909	NA	NA	NA
ECA760	NA	NA	NA	16.6009550857	NA	NA	NA
ECA768	NA	NA	NA	17.2998772154	NA	NA	NA
ECA777	NA	NA	NA	19.2176243303	NA	NA	NA
ECA778	NA	NA	NA	14.5638510318	NA	NA	NA
ECA807	NA	NA	NA	26.9185699983	NA	NA	NA
ECA812	NA	NA	NA	10.125721151	NA	NA	NA
ECA923	NA	NA	NA	18.0737114666	NA	NA	NA
ECA928	NA	NA	NA	20.7722686214	NA	NA	NA
ECA930	NA	NA	NA	14.9554361805	NA	NA	NA
ED3005	NA	20.5232054729539	-0.0273776563012168	9.59520530182	-3.17549724571003	-0.0186020032239443	-19.6062535418698
ED3011	146.284528355655	16.9412866809202	-0.434538746071055	38.532735695	3.31876016548373	0.0235301935114383	-43.3988580136433
ED3012	104.441848976518	3.53111014559154	-0.115243127047898	25.0240759865	-3.17549724571003	NA	NA
ED3017	41.8259421534138	NA	NA	30.4182357954	NA	0.00272722878744409	-33.2214593061122
ED3040	-20.4799735361653	4.35243696242985	0.28926854376513	22.3821919293	7.81383502427569	0.107175385666948	4.95716044039404
ED3046	12.210987108499	7.30978221049133	-0.179033105683933	26.4066594651	51.4194231464427	-0.0152066298216987	34.6934673589641
ED3048	-9.36782477106104	7.79098659053564	-0.454470511766099	12.1094851217	9.19815741368968	0.0182577287938645	-17.4138588927975
ED3049	-13.0075629828821	6.01293245855914	-0.475476256766099	22.5603155928	21.1581255188897	-0.0702842509940209	-50.8622027194422
ED3052	-16.9959871775043	-3.26821895944369	0.378899659132543	19.2350075832	-2.87962288194633	NA	-38.445784987855
ED3073	-22.0325687091457	0.946265183260437	0.0275711770984631	33.060413133	-3.17549724571003	0.0221958169246371	10.4193936799459
ED3077	NA	-3.5740954599527	NA	19.9203564359	-3.03014840852253	0.0147049918901413	-20.6331842814889
EG4347	-21.190803601642	-7.91706814405583	0.0502931678787879	16.2920814003	-1.83561659353681	0.0134202811204115	2.97815587532376
EG4349	-97.5957753916346	-0.47091116742777	-0.498286851071055	13.9505219215	0.700262858428967	0.0182757535190234	-89.44950687693
EG4724	63.3463379114068	10.0872552048258	-0.148719663870968	18.2087987759	-3.11148378669604	NA	NA
EG4725	48.4927499401545	-0.619748333702973	NA	16.3714915995	25.2899816179887	-0.0145020055997862	18.8126882775584
EG4946	68.3260050378388	4.7614781650798	-0.0950260770478984	20.8909803466	-2.72894057427253	-0.0198111107264187	31.2070479219835
GXW1	-9.12079627228441	NA	-0.130686660381232	28.282117055	-3.17549724571009	-0.0354331233413944	25.1185928181849
JT11398	-25.2442617727397	-1.44705490681582	NA	23.1749951855	-2.0447562284883	-0.0372973757926461	3.38091590786792
JU1088	53.3602036582499	NA	-0.381545210867457	14.3925995638	NA	0.133148344132605	-43.6144855667448
JU1172	-16.754887311771	0.622015146456292	NA	14.6541715681	-10.6143747562918	0.0356999054637579	13.9567007346906
JU1200	-18.0660919606562	1.08403829371405	NA	26.8535175113	-4.02631971302125	-0.00682693876523769	13.2641441927841
JU1212	NA	-2.09622667712369	0.151463004852151	40.1840277348	-8.49098145033375	0.00738632653913218	-18.2113048296245
JU1213	6.23783478822679	-6.68784040534086	NA	11.8231578281	-9.15690518084744	0.0328007034368561	-7.36756480251259
JU1242	28.3058992246475	5.53020304855107	-0.100842382901537	18.1811519926	-11.1797452649028	0.0211414828463065	4.82875077353937
JU1246	NA	-9.97182006183431	NA	17.8434886077	-9.48363373906976	NA	NA
JU1249	NA	NA	NA	70.3400720286	NA	NA	NA
JU1395	82.6246834560062	0.904586210953992	0.245337681363636	10.7244771698	5.57119215136774	-0.00531229516539565	18.562117088849998
JU1400	NA	NA	NA	15.2677458467	-12.2513846272915	0.218926187677244	-74.9795070492866
JU1409	-29.3620292659282	6.68061688127327	0.298615613030303	14.1293849237	-8.55985813689625	0.213773323355828	NA
JU1440	NA	2.36485190060639	0.25986954376513	15.9007866174	-7.13809398315339	0.0316300048939978	-53.5273600981314
JU1491	-37.3046919055025	-5.21135291023081	-0.161705832121212	17.5191773724	-9.2951769028660909	0.034432374545861	-6.24440592447792
JU1530	11.3152274290086	-2.21046814808256	NA	24.8187197591	-13.4412272993468	-0.0187479534757313	-20.4221852986449
JU1543	-22.078990583069	NA	0.483647591070833	18.8439306629	NA	NA	NA
JU1568	-63.2227984314196	8.57045799017275	0.0663993770984631	10.4518127328	-8.86703372227125	0.0388697349547961	-15.5556677331956
JU1580	-31.8515235003325	-14.9086008610978	-0.191444281766098	32.0616277951	NA	NA	NA
