replicate	trait	depth	r2
9	assay_norm	100	0.9967059343552457
9	assay_norm	500	0.9993926965672046
9	etoposide_median.TOF	1	0.7223008904040746
9	etoposide_median.TOF	3	0.9088978151139409
9	etoposide_median.TOF	5	0.9450153996189976
9	etoposide_median.TOF	10	0.9748183440195752
9	etoposide_median.TOF	30	0.9878393256418749
9	etoposide_median.TOF	50	0.9939812104604193
9	etoposide_median.TOF	100	0.9948765970899516
9	etoposide_median.TOF	500	0.9993366485236265
9	mtDNA_ratio	1	0.5371085343091301
9	mtDNA_ratio	3	0.7159089223999028
9	mtDNA_ratio	5	0.8108256542935874
9	mtDNA_ratio	10	0.9034826701453004
9	mtDNA_ratio	30	0.9484432357178595
9	mtDNA_ratio	50	0.9722859194235386
9	mtDNA_ratio	100	0.9798988676746679
9	mtDNA_ratio	500	0.9961029815747479
9	value	1	0.910181710624505
9	value	3	0.9520993047090563
9	value	5	0.9773169155698298
9	value	10	0.9885885833466624
9	value	30	0.995803302508713
9	value	50	0.9969755497882694
9	value	100	0.9985812454429898
9	value	500	0.9997234015254558
10	Albendazole_q75.TOF	1	0.5037682554992862
10	Albendazole_q75.TOF	3	0.7729846559322757
10	Albendazole_q75.TOF	5	0.8289438281717112
10	Albendazole_q75.TOF	10	0.919766395907152
10	Albendazole_q75.TOF	30	0.9684082924129973
10	Albendazole_q75.TOF	50	0.9808682971486549
10	Albendazole_q75.TOF	100	0.9896694817508657
10	Albendazole_q75.TOF	500	0.9985934978052408
10	PC1	1	0.9021958425070075
10	PC1	3	0.9708570962310609
10	PC1	5	0.9826773961037604
10	PC1	10	0.9889791550490342
10	PC1	30	0.9973290568528064
10	PC1	50	0.9986345943098105
10	PC1	100	0.9988765739235692
10	PC1	500	0.9997791294829543
10	amsacrine_f.L1	1	0.8171490483303064
10	amsacrine_f.L1	3	0.9134019612091908
10	amsacrine_f.L1	5	0.9496576209359792
10	amsacrine_f.L1	10	0.9764339296937614
10	amsacrine_f.L1	30	0.9930648685028016
10	amsacrine_f.L1	50	0.9950816665640264
10	amsacrine_f.L1	100	0.9972261103349077
10	amsacrine_f.L1	500	0.9996155713079685
10	assay_norm	1	0.7399747987968912
10	assay_norm	3	0.9024775971200371
10	assay_norm	5	0.94139835328716
10	assay_norm	10	0.9590594249747404
10	assay_norm	30	0.9920852088096941
10	assay_norm	50	0.99354075810626
10	assay_norm	100	0.9960454990672489
10	assay_norm	500	0.999308331251644
10	etoposide_median.TOF	1	0.7225243947631501
10	etoposide_median.TOF	3	0.9283571211206473
10	etoposide_median.TOF	5	0.9363249738541095
10	etoposide_median.TOF	10	0.9725227400691541
10	etoposide_median.TOF	30	0.9930550410456157
10	etoposide_median.TOF	50	0.9926166881564333
10	etoposide_median.TOF	100	0.9964379194708965
10	etoposide_median.TOF	500	0.9992887415370932
10	mtDNA_ratio	1	0.5193370640623709
10	mtDNA_ratio	3	0.7040524097846472
10	mtDNA_ratio	5	0.7357926371081267
10	mtDNA_ratio	10	0.850541538499799
10	mtDNA_ratio	30	0.9609987494757426
10	mtDNA_ratio	50	0.9703768427584306
10	mtDNA_ratio	100	0.9811685487982815
10	mtDNA_ratio	500	0.9963513980124864
10	value	1	0.8713763934214824
10	value	3	0.955684018338212
10	value	5	0.974769333072373
10	value	10	0.9859905073843283
10	value	30	0.9950632614930353
10	value	50	0.9969351214138433
10	value	100	0.9986448634154642
10	value	500	0.9995369941347028
