strain A10 A13 mean_rep
ECA703 0.000129458820627025 -0.000238268650874244 -5.44049151236093e-05
ECA705 -0.00505796697449767 -0.00778221419639556 -0.00642009058544662
ECA706 -8.37012749044049e-05 -0.00047226049239833 -0.000277980883651368
ECA710 0.000260000519721919 3.15131647638644e-06 0.000131575918099153
ECA712 0.000806171943256507 0.000457267165824211 0.000631719554540359
ECA722 -0.000482346292855592 -3.39438785810281e-05 -0.00025814508571831
ECA723 -0.000569900431876868 -1.8827235346997e-05 -0.000294363833611932
ECA730 -7.10582708133861e-05 4.10806066204791e-05 -1.49888320964535e-05
ECA733 0.000300669550341918 0.000152525555391727 0.000226597552866823
ECA738 0.0712143204456325 0.0312793548110245 0.0512468376283285
ECA740 0 -0.000107026887604557 -5.35134438022787e-05
ECA741 0 -1.02064427187618e-06 -5.10322135938092e-07
ECA742 -2.36078051195812e-06 0 -1.18039025597906e-06
ECA743 0.00400942496850412 0.00520579081124995 0.00460760788987703
ECA744 0 0.000341784132887424 0.000170892066443712
ECA745 0 -0.000169577582229219 -8.47887911146096e-05
ECA760 0.0103610616372523 0.00916865207120957 0.00976485685423094
ECA777 0.0394674188509599 0.035699360580186 0.037583389715573
ECA778 0.000480893350320607 0.00162967819033869 0.00105528577032965
ECA812 -0.000202124556703696 0.00108836222911728 0.00044311883620679
ECA923 -0.00537497942774985 -0.0030625014678163 -0.00421874044778307
ECA928 -1.16320144225983e-05 -6.18466036982423e-05 -3.67393090604203e-05
ECA930 -0.0054717129583633 -0.0039476966346586 -0.00470970479651095
ED3005 -0.00137880394899169 -0.00304803234821143 -0.00221341814860156
ED3011 -0.00379368191277375 -0.00117095837182276 -0.00248232014229826
ED3046 -0.0113227813188526 -0.00671525817205205 -0.00901901974545235
ED3073 -0.00806950715710948 -0.00917059118167092 -0.0086200491693902
ED3077 -0.0148036815422836 -0.00958285878373491 -0.0121932701630093
EG4347 -0.00209663358076788 -0.00405640335770577 -0.00307651846923683
EG4349 -8.87577016131053e-05 0.000849037851514503 0.000380140074950699
EG4724 9.35816988688387e-05 -0.000113365760875061 -9.89203100311119e-06
EG4946 -0.000243321587444861 -0.000183729323342818 -0.00021352545539384
GXW1 -0.00565235189849577 -0.00279290086587222 -0.00422262638218399
JU1200 -7.88832981594944e-05 -0.000124767813264863 -0.000101825555712179
JU1212 0.0150661391584717 0.00372982879878141 0.00939798397862655
JU1246 0.0503277004383869 0.0332960697485546 0.0418118850934707
JU1249 0 6.30894156654821e-05 3.15447078327411e-05
JU1400 0.00391160683847197 -0.000487040037258069 0.00171228340060695
JU1491 -2.1246216426788e-05 3.20431330004822e-06 -9.02095156336989e-06
JU1530 -0.000338928024486003 0.000657521218209911 0.000159296596861954
JU1586 -0.00248938062706808 -0.0020125885493652 -0.00225098458821664
JU1652 -0.00635677495318083 -0.00497030790472873 -0.00566354142895478
JU1666 -0.00407608985368793 -0.00585484488415767 -0.0049654673689228
JU1792 -0.00160059026702525 9.52436411726331e-05 -0.000752673312926308
JU1793 0.00774357645133476 0.0180974374719684 0.0129205069616516
JU1934 0.0152090356737209 0.0191347096482755 0.0171718726609982
JU2001 -1.64665684271592e-05 0 -8.23328421357961e-06
JU2017 -5.34448889281233e-05 -2.56464075242863e-05 -3.95456482262048e-05
JU2250 -0.0197424995970224 -0.00769754133433514 -0.0137200204656788
JU2257 -0.000408576644780711 2.30127276027201e-05 -0.000192781958588996
JU2513 -3.47332554370217e-06 -5.98109720926207e-05 -3.16421488181614e-05
JU2522 0.0370751829372264 0.0278910655675412 0.0324831242523838
JU2526 -0.000426556787950314 -0.000730732389430249 -0.000578644588690281
JU2570 0 0.000369307099687012 0.000184653549843506
JU2572 -0.00268484088603816 -0.0054291892126457 -0.00405701504934193
JU2575 -1.76635431178407e-05 0 -8.83177155892036e-06
JU2581 -0.00321613867723222 -0.00398167493825992 -0.00359890680774607
JU2586 -0.00859888520513718 -0.00902098167424762 -0.0088099334396924
JU2592 -0.000111780984662385 0.000128289536183754 8.25427576068436e-06
JU2610 0.013166985825626 0.0163682983438411 0.0147676420847336
JU2619 -4.95917582363848e-06 -0.000322784357350389 -0.000163871766587014
JU2811 -0.000131931602124367 2.35702501150356e-06 -6.47872885564316e-05
JU2825 1.20864115918674e-05 0.000614135975777065 0.000313111193684466
JU2838 -6.44319351368557e-07 3.86725822379371e-05 1.90141314432843e-05
JU2841 -0.00698811456959903 -0.00480532561686331 -0.00589672009323117
JU2907 -8.46030347009024e-05 -8.07919850610785e-05 -8.26975098809905e-05
JU3128 0 -3.09291043135406e-05 -1.54645521567703e-05
JU3132 0.0373749362803156 0.0276550875449862 0.0325150119126509
JU3141 -0.000574988350261355 -0.00013430368071965 -0.000354646015490503
JU3144 0.00278650259129603 0.00507830000121532 0.00393240129625568
JU3166 -0.00161105074760162 0.000665926754695623 -0.000472561996453
JU3167 0.00868015827866983 0.00476418178482397 0.0067221700317469
JU3169 -0.00011289934616999 0.00033496885653031 0.00011103475518016
JU3224 -0.00106581288157037 -0.00179179573112153 -0.00142880430634595
JU3225 0 -2.81340657023804e-06 -1.40670328511902e-06
JU3226 0.00149543924722927 -0.000763023164314531 0.000366208041457368
JU3280 -0.00093793751861565 -0.000649950230169186 -0.000793943874392418
JU3282 -0.0042381302118721 -0.00222070512357156 -0.00322941766772183
JU3291 0.111948800722191 0.0905562187914398 0.101252509756816
JU367 -0.00124677148094339 -4.40832486059844e-05 -0.000645427364774687
JU393 0.000433800749266789 0.000412484226140846 0.000423142487703817
