strain	rep	ctrl_frq_boot	ctrl_frq_boot_se	pos1_frq_boot	pos1_frq_boot_se	delta_freq	direction
JU1586	B	0.002563644699761603	0.0036798219784678694	5.510561503964072e-4	0.0014148600887092678	-0.0020125885493651957	decrease
JU1652	A	0.009397417410700987	0.003634297290285628	0.0030406424575201586	0.003282981250337269	-0.0063567749531808285	decrease
JU1652	B	0.008495479764967291	0.003468851892263433	0.0035251718602385637	0.002982669679325413	-0.004970307904728728	decrease
JU1666	A	0.004076089853687927	0.002572714561857023	0	0	-0.004076089853687927	decrease
JU1666	B	0.005854844884157665	0.0028920468357306107	0	0	-0.005854844884157665	decrease
JU1792	A	0.0016005902670252494	0.0025247138900727326	0	0	-0.0016005902670252494	decrease
JU1792	B	3.030598580696954e-5	2.9196931679806933e-4	1.2554962697960265e-4	7.922316698378382e-4	9.524364117263312e-5	increase
JU1793	A	0.010814385356365343	0.006731525408709047	0.018557961807700106	0.008820606829913825	0.007743576451334763	increase
JU1793	B	0.009874330036036385	0.006131726480961263	0.027971767508004824	0.006198007677029525	0.018097437471968437	increase
JU1896	A	0	0	0	0	0	increase
JU1896	B	0	0	0	0	0	increase
JU1934	A	0.024941490052952403	0.0026682845372708844	0.04015052572667332	0.005580137411729131	0.015209035673720915	increase
JU1934	B	0.026492827784216157	0.0030552695192128305	0.045627537432491615	0.003610777714791314	0.019134709648275457	increase
JU2001	A	1.6466568427159215e-5	1.1074462091793235e-4	0	0	-1.6466568427159215e-5	decrease
JU2001	B	0	0	0	0	0	increase
JU2016	A	0	0	0	0	0	increase
JU2016	B	0	0	0	0	0	increase
JU2017	A	5.3444888928123336e-5	2.543466445785277e-4	0	0	-5.3444888928123336e-5	decrease
JU2017	B	3.458031755869939e-5	2.3532513705343207e-4	8.933910034413063e-6	8.933910034413062e-5	-2.5646407524286328e-5	decrease
JU2250	A	0.022738231491429596	0.007029876446083411	0.002995731894407159	0.0022601624535835635	-0.019742499597022435	decrease
JU2250	B	0.018852078312899003	0.004610148278582724	0.01115453697856386	0.0034969017613141378	-0.007697541334335143	decrease
JU2257	A	4.0857664478071126e-4	0.0011920742345437575	0	0	-4.0857664478071126e-4	decrease
JU2257	B	5.959076468544712e-6	5.9590764685447115e-5	2.8971804071264806e-5	1.7281559028219434e-4	2.3012727602720095e-5	increase
JU2478	A	0	0	0	0	0	increase
JU2478	B	0	0	0	0	0	increase
JU2513	A	3.4733255437021737e-6	3.4733255437021735e-5	0	0	-3.4733255437021737e-6	decrease
JU2513	B	5.981097209262068e-5	2.802256803036384e-4	0	0	-5.981097209262068e-5	decrease
JU2522	A	0.012287754634439652	0.0030205467278130245	0.049362937571666043	0.001978684552199425	0.03707518293722639	increase
JU2522	B	0.010097111176303592	0.00302510130309715	0.0379881767438448	0.0023390455813429695	0.027891065567541205	increase
JU2526	A	4.4130987528092855e-4	8.537893366257635e-4	1.4753087330614744e-5	1.0386527596748729e-4	-4.265567879503138e-4	decrease
JU2526	B	7.686556528680703e-4	0.0012018052838554064	3.7923263437821744e-5	1.4926443117837602e-4	-7.307323894302486e-4	decrease
JU2570	A	0	0	0	0	0	increase
JU2570	B	0	0	3.6930709968701155e-4	0.0012868403364073727	3.6930709968701155e-4	increase
JU2572	A	0.004772945755701377	0.0036259339296865834	0.002088104869663222	0.003127904729189178	-0.002684840886038155	decrease
